time_stamp	px_state	py_state	v_state	sensor_type	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010446000000	15.5049	3.69765	5.1748	lidar	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.602525	0.381509	0.0888063	0.10671	0.97898	0.656529
1477010446050000	15.7189	3.80916	5.08396	radar	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.6216	0.386458	0.0887206	0.105846	0.971793	0.652383
1477010446100000	15.9409	3.96052	5.11396	lidar	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.640923	0.391345	0.0889737	0.105004	0.965126	0.6485
1477010446150000	16.1413	4.09001	4.90331	radar	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.66049	0.39617	0.0892462	0.104206	0.957918	0.645935
1477010446200000	16.3334	4.30595	4.9871	lidar	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.680299	0.400933	0.0894486	0.103534	0.950932	0.642039
1477010446250000	16.549	4.4497	5.01063	radar	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.700345	0.405632	0.0900895	0.102802	0.944513	0.63879
1477010446300000	16.7239	4.63127	5.01775	lidar	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.720627	0.410268	0.0904351	0.102189	0.938246	0.635316
1477010446350000	16.8852	4.77533	4.66591	radar	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.74114	0.414838	0.0903836	0.101477	0.931323	0.633466
1477010446400000	17.0383	5.03284	4.79218	lidar	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.761882	0.419343	0.0900006	0.101639	0.92455	0.629638
1477010446450000	17.2166	5.16762	4.71125	radar	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.782849	0.423782	0.0896307	0.101292	0.917933	0.627021
1477010446500000	17.368	5.37136	4.75326	lidar	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.804038	0.428154	0.0891007	0.10128	0.911466	0.623927
1477010446550000	17.5342	5.49819	4.60733	radar	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	0.0885614	0.100726	0.905127	0.622723
1477010446600000	17.721	5.63739	4.60358	lidar	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	0.0881716	0.100034	0.899101	0.623026
1477010446650000	17.8763	5.79302	4.46101	radar	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	0.0877416	0.0994138	0.893057	0.624826
1477010446700000	18.0402	6.02235	4.58401	lidar	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	0.0873693	0.0987551	0.887245	0.624613
1477010446750000	18.1993	6.2038	4.59674	radar	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	0.0870567	0.0981037	0.881706	0.624629
1477010446800000	18.3123	6.48712	4.74562	lidar	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	0.0865311	0.0979313	0.876175	0.621983
1477010446850000	18.4527	6.67218	4.65262	radar	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	0.0860043	0.0976133	0.870685	0.620065
1477010446900000	18.597	6.82205	4.59691	lidar	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	0.0855046	0.0970095	0.865567	0.619598
1477010446950000	18.7541	7.0081	4.65639	radar	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	1.00417	0.46438	0.0851355	0.0964025	0.861191	0.619373
1477010447000000	18.9508	7.16595	4.67193	lidar	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.02738	0.468047	0.0855654	0.0960021	0.858231	0.620703
1477010447050000	19.0517	7.32431	4.37286	radar	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	1.05079	0.47164	0.0856377	0.0961646	0.853859	0.624663
1477010447100000	19.1267	7.64476	4.59061	lidar	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.07437	0.475158	0.0852759	0.0955839	0.849252	0.623667
1477010447150000	19.256	7.82717	4.55921	radar	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	1.09813	0.478601	0.0850368	0.0950981	0.845115	0.623511
1477010447200000	19.3266	8.07721	4.63067	lidar	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.12206	0.481969	0.0845747	0.0945393	0.840914	0.622048
1477010447250000	19.4313	8.26782	4.60453	radar	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	1.14615	0.48526	0.084125	0.0940734	0.837173	0.621147
1477010447300000	19.5252	8.42481	4.5072	lidar	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	1.17042	0.488475	0.0836704	0.0941945	0.83394	0.62177
1477010447350000	19.6283	8.59919	4.35472	radar	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	1.19484	0.491613	0.0832621	0.0951182	0.830573	0.624171
1477010447400000	19.784	8.80018	4.41638	lidar	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	1.21942	0.494673	0.0834759	0.0965471	0.828701	0.626732
1477010447450000	19.8703	8.98881	4.2568	radar	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.24416	0.497655	0.0837558	0.0988733	0.826096	0.630705
1477010447500000	19.9867	9.25945	4.43772	lidar	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.26904	0.500558	0.0847055	0.100226	0.824388	0.631997
1477010447550000	20.0468	9.44354	4.20668	radar	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.29407	0.503383	0.0854563	0.102632	0.821444	0.63527
1477010447600000	20.116	9.72942	4.39918	lidar	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.31923	0.506127	0.0862829	0.103834	0.81882	0.6356
1477010447650000	20.1788	9.97366	4.49024	radar	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	1.34454	0.508793	0.0871789	0.10485	0.816741	0.634943
1477010447700000	20.2153	10.2923	4.71316	lidar	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.36998	0.511377	0.0877954	0.104742	0.814583	0.632362
